DIFF\SKILL,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
5,98.71,99.05,99.26,99.46,99.61,99.66,99.74,99.82,99.86,99.88,99.92,99.96,99.97,99.97,99.98,99.98,99.99,99.99,99.99,99.99,99.99,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5.5,87.02,89.56,91.59,93.46,94.6,95.77,96.61,97.28,97.82,98.27,98.73,99,99.29,99.48,99.61,99.7,99.78,99.86,99.88,99.9,99.94,99.95,99.98,99.97,99.99,99.99,99.98,99.99,99.99,99.99,99.99,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,87.01,89.68,91.73,93.37,94.72,95.8,96.53,97.33,97.82,98.27,98.71,99.04,99.27,99.44,99.59,99.69,99.75,99.81,99.86,99.91,99.93,99.95,99.96,99.98,99.98,99.98,99.99,99.99,99.99,99.99,100,99.99,100,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6.5,60.55,67.96,74,78.82,82.83,86.17,88.52,90.79,92.29,93.96,95.35,96.47,97.29,97.97,98.42,98.76,99.06,99.23,99.41,99.58,99.7,99.76,99.86,99.9,99.95,99.96,99.96,99.98,99.98,99.98,99.99,100,100,99.99,100,100,100,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,60.48,68.12,73.8,78.65,82.87,86.1,88.68,90.97,92.68,93.88,95.34,96.46,97.23,97.95,98.35,98.77,99.08,99.25,99.4,99.55,99.69,99.8,99.84,99.92,99.94,99.95,99.97,99.97,99.97,99.99,99.99,99.99,100,100,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7.5,19.69,30.77,40.99,49.17,56.95,63.43,68.91,73.77,78.19,81.45,85.27,88.43,91.21,92.85,94.39,95.55,96.52,97.35,97.83,98.34,98.83,99.08,99.35,99.55,99.68,99.77,99.84,99.87,99.92,99.95,99.96,99.97,99.98,99.99,99.99,99.99,99.99,99.99,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,13.95,21.21,28.95,36.72,43.85,50.48,56.74,62.24,67.46,71.76,77.42,82.34,85.95,89.01,91.15,93.16,94.54,95.69,96.7,97.31,98.1,98.6,98.96,99.26,99.47,99.63,99.72,99.78,99.85,99.92,99.94,99.95,99.98,99.98,99.99,99.99,99.99,99.99,99.99,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8.5,1.03,2.73,5.23,7.92,11.08,14.44,18.48,22.77,26.57,30.77,42.49,52.1,60.47,67.19,72.91,77.58,82,85.22,87.94,90.23,92.51,94.32,95.73,96.84,97.62,98.14,98.63,98.94,99.21,99.42,99.64,99.77,99.86,99.89,99.93,99.95,99.97,99.97,99.98,99.99,99.99,99.99,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,0.24,0.33,0.42,0.75,1.3,2.1,3.33,4.74,6.88,9.37,19.35,28.72,37.44,45.87,53.53,59.96,66,71.14,75.63,79.42,84.31,87.67,90.29,92.7,94.24,95.68,96.69,97.44,98,98.43,98.98,99.27,99.51,99.7,99.76,99.84,99.88,99.93,99.94,99.96,99.98,99.99,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9.5,0,0,0,0,0.01,0.02,0.05,0.1,0.21,0.4,1.16,3.37,6.73,10.39,14.61,19.39,24.53,29.61,34.82,40.24,50.57,59.58,67.36,73.63,78.75,82.84,86.14,88.92,91.02,92.85,94.79,96.26,97.18,97.9,98.54,98.88,99.15,99.39,99.58,99.7,99.8,99.87,99.92,99.96,99.97,99.98,99.99,99.99,99.99,100,100,100,100,100,100,100,100,100,100
10,0,0,0,0,0,0,0.01,0.03,0.14,0.24,0.26,0.35,0.55,0.85,1.46,2.26,3.56,5.24,7.33,9.8,20.94,31.22,40.95,49.34,56.97,63.59,69.27,74.29,78.6,82.35,86.42,89.75,92.02,93.84,95.35,96.4,97.36,97.95,98.43,98.85,99.28,99.49,99.7,99.81,99.87,99.92,99.96,99.98,99.99,99.99,99.99,100,100,100,100,100,100,100,100
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.03,0.05,0.1,0.22,0.38,1.19,3.58,7.17,11.37,16.36,21.69,27.32,32.65,38.32,43.57,54.39,63.48,70.24,76,80.95,84.77,87.87,90.36,92.3,93.98,95.55,96.75,97.67,98.26,98.74,99.16,99.38,99.55,99.71,99.78,99.88,99.89,99.95,99.97,99.98,99.99,99.99,99.99,100
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.12,0.24,0.25,0.35,0.54,0.9,1.41,2.28,3.61,5.18,7.25,9.86,21.59,32.15,42.14,50.35,58.01,64.88,70.88,75.2,79.75,83.16,87.16,90.1,92.51,94.21,95.55,96.73,97.5,98.08,98.61,98.97,99.3,99.5,99.69,99.83,99.88,99.93,99.95,99.98,99.99
11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.05,0.11,0.21,0.39,1.18,3.74,7.46,11.98,17.04,22.46,28.34,33.9,39.85,45.01,55.39,64.08,71.29,76.87,81.52,85.4,88.28,90.95,92.79,94.23,95.61,96.86,97.68,98.36,98.82,99.17,99.38,99.57,99.7
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.1,0.25,0.24,0.36,0.52,0.91,1.46,2.33,3.56,5.09,7.26,9.82,21.72,32.52,41.87,50.84,58.51,64.97,70.88,75.69,79.89,83.46,87.1,90.12,92.45,94.28,95.57,96.76,97.55,98.15,98.67
12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0.06,0.11,0.19,0.38,1.21,3.73,7.52,12.27,17.46,22.85,28.58,34.4,40.06,45.77,55.78,64.61,71.29,77.06,81.58,85.27,88.31,90.81,92.69
